[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: farms in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: items in /volume2/web/FS19_Webstats/include/savegame/Commodities.class.php on line 57
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Commodities.class.php on line 57
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Notice:  Undefined index: vehicles in /volume2/web/FS19_Webstats/include/savegame/Commodities.class.php on line 162
[15-Jul-2019 11:46:14 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Commodities.class.php on line 162
[15-Jul-2019 11:55:19 Europe/Berlin] PHP Warning:  ftp_connect(): php_network_getaddresses: gethostbyname failed in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 153
[15-Jul-2019 14:25:30 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:44:25 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:45:32 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:45:41 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:45:43 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:47:16 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:49:13 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:49:22 Europe/Berlin] PHP Notice:  Undefined index: Farmlands in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:51:24 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:51:26 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:51:28 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:51:31 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:52:54 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 15:56:03 Europe/Berlin] PHP Notice:  Undefined offset: 17 in /volume2/web/FS19_Webstats/include/finances.php on line 62
[15-Jul-2019 16:15:28 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 16:15:28 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 19:52:28 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 19:52:28 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 20:56:42 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 20:56:42 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 21:01:28 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 21:01:28 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 23:57:45 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 23:57:45 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 23:57:57 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[15-Jul-2019 23:57:57 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[18-Jul-2019 21:08:22 Europe/Berlin] PHP Warning:  ftp_login(): User cannot log in. in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 158
[18-Jul-2019 21:10:06 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 310 of 344 bytes in /volume2/web/FS19_Webstats/include/loadConfig.php on line 46
[18-Jul-2019 21:10:06 Europe/Berlin] PHP Notice:  unserialize(): Error at offset 310 of 344 bytes in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 59
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 106
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: environment in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 107
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 108
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: careerSavegame in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 109
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: farms in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 124
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Notice:  Undefined index: farms in /volume2/web/FS19_Webstats/include/savegame/Farm.class.php on line 37
[18-Jul-2019 21:10:07 Europe/Berlin] PHP Warning:  Invalid argument supplied for foreach() in /volume2/web/FS19_Webstats/include/savegame/Farm.class.php on line 37
[18-Jul-2019 23:06:24 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[18-Jul-2019 23:06:24 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[21-Jul-2019 15:51:42 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:30 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:44 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:45 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:46 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:46 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[21-Jul-2019 15:52:47 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[22-Jul-2019 19:10:04 Europe/Berlin] PHP Notice:  Undefined index: HTTP_ACCEPT_LANGUAGE in /volume2/web/FS19_Webstats/include/language.php on line 25
[24-Jul-2019 14:40:20 Europe/Berlin] PHP Warning:  ftp_connect(): php_network_getaddresses: gethostbyname failed in /volume2/web/FS19_Webstats/include/savegame/Savegame.class.php on line 153
[24-Jul-2019 16:34:57 Europe/Berlin] PHP Notice:  Undefined index: cols in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[24-Jul-2019 16:34:57 Europe/Berlin] PHP Notice:  Trying to get property of non-object in /volume2/web/FS19_Webstats/templates_c/fs19webstats^f5e620ec6b3f4f2302524d6203b566c737dcef05_0.file.prices.tpl.php on line 138
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): ./config/_gameOwn/vehicles.xml:521: parser error : AttValue: " or ' expected in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): sename="stollFrontLoaderFZ.xml" type="attachableFrontloader" name="FZ 30" brand= in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file():                                                                                ^ in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): ./config/_gameOwn/vehicles.xml:521: parser error : attributes construct error in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): sename="stollFrontLoaderFZ.xml" type="attachableFrontloader" name="FZ 30" brand= in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file():                                                                                ^ in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): ./config/_gameOwn/vehicles.xml:521: parser error : Couldn't find end of Start Tag vehicle line 521 in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file(): sename="stollFrontLoaderFZ.xml" type="attachableFrontloader" name="FZ 30" brand= in /volume2/web/FS19_Webstats/include/functions.php on line 79
[24-Jul-2019 19:12:54 Europe/Berlin] PHP Warning:  simplexml_load_file():                                                                                ^ in /volume2/web/FS19_Webstats/include/functions.php on line 79
